name,lat,long,within
DÃºn Chaoin,52.11295059,-10.49200388,Corkaguiny
Cill Imleach,51.86294967,-10.33086849,Iveragh
Ballynakill,53.05140185,-8.423096834,Ballynahinch
Dysert,52.17465019,-9.448622126,Iraghticonnor
Dingle,52.15550047,-10.27867174,Corkaguiny
Rattoo,52.44489961,-9.661126635,Clanmaurice
Kildrum,52.14476505,-10.32322815,Corkaguiny
Burrishoole,53.93504736,-9.612644423,Burrishoole
Tagheen,53.71191764,-9.084681472,Clanmorris
Kilcommon,54.14406184,-9.748015281,Erris
Kilmore,54.20025365,-6.991146368,Erris
Caher,51.93379499,-10.21859902,Iveragh
Omey,53.51923558,-10.04812849,Ballynahinch
Inishbofin,53.61847537,-10.22439309,Ballynahinch
Ballindoon,53.43653647,-10.05167966,Ballynahinch
Killinane,51.98202514,-10.11537012,Iveragh
Inishturk,53.70326579,-10.10320808,Murrisk
An Dromaid,51.89433869,-10.05580136,Iveragh
Ardfert,52.32419979,-9.79007137,Clanmaurice
Killorglin,52.0727603,-9.805029966,Trughanacmy
Skull,51.5599111,-9.529349481,West Carbery (West Division)
Kilnamanagh,51.62214813,-10.0701072,Bear
Kilgarvan,54.10758878,-9.009501095,Gallen
Kilmocomoge,51.74322855,-9.393265722,Bantry
Kilcatherine,51.70408146,-9.924399755,Bear
Killiney,52.22911753,-10.02124995,Corkaguiny
Moyrus,53.424445,-9.80262769,Ballynahinch
Ballynahaglish,54.03340943,-9.156912496,Trughanacmy
Achill,53.9497266,-9.986406231,Burrishoole
Kilmaley,52.80871214,-9.163329398,Islands
Killaconenagh,51.65219564,-9.884003002,Bear
Kilgeever,53.70032498,-9.819645684,Murrisk
Kilcrohane,51.831638,-9.963469476,Dunkerron South
Tuosist,51.78049857,-9.72603401,Glanarought
Kilmoyly,52.36696136,-9.778755282,Clanmaurice
Kilballyowen,52.58707252,-9.820759469,Moyarta
Killone,52.79157142,-9.0436307,Islands
Ballymacelligott,52.26766621,-9.576222832,Trughanacmy
Knockane,52.00032903,-9.738723719,Dunkerron North
Kilnanare,52.16026877,-9.634977641,Magunihy
Kilcaskan,51.8104585,-9.534532191,Glanarought
Aglish,53.87690266,-9.311908555,Carra
Clogherbrien,52.29026778,-9.748319693,Trughanacmy
Oughaval,53.73262021,-9.638031591,Murrisk
Ãrainn,53.12601674,-9.725554487,Aran
Iveruss,52.64926009,-8.952539257,Kenry
Kiltomy,52.39261102,-9.651849089,Clanmaurice
Templenoe,51.90890667,-9.713295454,Dunkerron South
Kilcummin,52.0914807,-9.339926542,Moycullen
Ratass,52.28031175,-9.661736871,Trughanacmy
Kilmoe,51.49360097,-9.740361671,West Carbery (West Division)
Kiltallagh,52.19045799,-9.686380949,Trughanacmy
Aghagower,53.70266962,-9.542159644,Murrisk
