NAME_EN,LATITUDE,LONGITUDE,CO_NAME
Lecale Lower,54.3315356076,-5.638597804,Down
Antrim Lower,54.8773042832,-6.1473828998,Antrim
Glenarm Lower,55.0195367548,-6.0656623973,Antrim
Nethercross,53.4744424925,-6.2328407009,Dublin
Shanid,52.5330705566,-9.1778132785,Limerick
Tirkennedy,54.3685843613,-7.5310226588,Fermanagh
Ikeathy and Oughterany,53.370509709,-6.7210220969,Kildare
Oneilland East,54.4656210872,-6.3943751953,
Oneilland West,54.4290162609,-6.5489274162,Armagh
Slane Upper,53.7320206571,-6.5633674573,Meath
Fartullagh,53.4385731609,-7.3168990593,Westmeath
Deece Upper,53.4467064715,-6.6503229283,Meath
Gowran,52.5973723302,-7.0835618356,Kilkenny
Bear,51.688955585,-9.8294631048,Cork
Castleknock,53.3948010148,-6.3685172691,Dublin
,54.3991687093,-6.107608099,Down
,53.3446088532,-6.2769927071,
Barony of Kiltartan,53.0734891875,-8.8411723579,Galway
Eglish,53.1398555171,-7.8256666974,Offaly
Ardagh,53.6912622509,-7.6459635381,Longford
Cremorne,54.1238330482,-6.827839708,Monaghan
Newcastle,53.2992660947,-6.4710477224,Dublin
Clarmallagh,52.8587407781,-7.4687702095,Laois
Keenaght,54.9897365149,-6.9199597266,Londonderry
Upperwoods,53.0097967681,-7.5704509231,Laois
Maryborough West,53.0066881078,-7.4073531936,Laois
Barony of Costello,53.8504252203,-8.7831863365,
Carrickfergus,54.7341754181,-5.851011293,Antrim
Massereene Upper,54.5532036498,-6.1852733339,Antrim
Ardee,53.8735842242,-6.5112308603,Louth
Leitrim,54.0099792912,-7.9851161123,Leitrim
Dublin,53.3404701809,-6.2530138314,Dublin
Carlow,52.8157495408,-6.87210346,Carlow
Mourne,54.1159794146,-6.0047684578,Down
Connello Lower,52.548334282,-8.9468942879,Limerick
Dartree,54.1503615097,-7.1431391503,Monaghan
Clanawley,54.2889676089,-7.7810474184,Fermanagh
Bantry,52.4383634428,-6.7619881426,Wexford
Kilcullen,53.1028096578,-6.7598771579,Kildare
Portnahinch,53.1134983245,-7.1840837258,Laois
Belfast Lower,54.7541044532,-5.8761327326,Antrim
Kilkenny West,53.4946392581,-7.8352844456,Westmeath
Clanmaurice,52.3876833413,-9.6260096984,Kerry
Iraghticonnor,52.5148115613,-9.4935275393,Kerry
Gorey,52.6831255075,-6.3275578858,Wexford
Massereene Lower,54.6554250288,-6.1890625019,Antrim
Carbury,53.3719680732,-6.9468021967,Kildare
Ibrickan,52.7944121505,-9.420513597,Clare
,53.6566752537,-8.3559536772,Roscommon
Ormond Lower,53.0150009889,-8.124638653,Tipperary
Corran,54.0644240647,-8.5077154203,Sligo
Slievardagh,52.5715987643,-7.574179517,Tipperary
Clonlonan,53.3971845837,-7.7943824692,Westmeath
Ballintober North,53.827618112,-7.9864008909,Roscommon
Leitrim,53.0693243845,-8.4216634689,
Clanwilliam,52.620561494,-8.5084756973,Limerick
Navan Lower,53.6518658895,-6.7380591298,Meath
Toome Lower,54.8880706797,-6.3719819295,Antrim
Moyfenrath Upper,53.450708176,-7.0395505528,Meath
Tullyhaw,54.174127974,-7.8108746734,Cavan
Crannagh,52.6764451445,-7.4239970331,Kilkenny
Magheraboy,54.41644139,-7.8938776376,Fermanagh
Inishowen East,55.2457071065,-7.2324242061,Donegal
Knockninny,54.1816770067,-7.5604365447,Fermanagh
Raphoe North,54.9176132507,-7.5607223737,Donegal
Islands,52.7946868701,-9.0962228166,Clare
Rathdown,53.2155340551,-6.1965704003,
Galway,53.29207344,-9.0718270041,Galway
Ballinacor South,52.8804301808,-6.4069835171,Wicklow
Dundalk Lower,54.0395295333,-6.2655928946,Louth
Bargy,52.2377070829,-6.6280130271,Wexford
Morgallion,53.7991840782,-6.732124344,Meath
Ross,53.5543281209,-9.4997343027,
Kilnamanagh Lower,52.5927482744,-8.038061358,Tipperary
Mohill,53.9126560214,-7.846528258,Leitrim
Pubblebrien,52.6058250124,-8.699365535,Limerick
Talbotstown Lower,53.1104843483,-6.5012829962,Wicklow
Garrycastle,53.2585631976,-7.8739950796,Offaly
Kilmacrenan,55.073493208,-7.9106858339,Donegal
Kilkenny,52.6619479586,-7.2665822749,Kilkenny
Ferrard,53.7840065305,-6.3631681593,Louth
North Liberties,52.6712469034,-8.6658672994,Limerick
Narragh and Reban East,53.0358430103,-6.8301613938,Kildare
Scarawalsh,52.6006966272,-6.5799269134,Wexford
Banagh,54.6998043652,-8.4047270239,Donegal
Idrone West,52.7502558559,-7.0200426419,Carlow
Tiranny,54.3027726593,-6.7889205666,Armagh
Dunluce Lower,55.1608889328,-6.5091197789,Antrim
"Iveagh Upper, Lower Half",54.2590808515,-6.0520964789,Down
Owneybeg,52.6474148667,-8.3583412343,Limerick
Ballinacor North,53.0362545017,-6.3034069581,Wicklow
Armagh,54.3106743461,-6.7016257219,Armagh
Moycashel,53.3977010861,-7.5072291495,Westmeath
Slane Lower,53.8318157104,-6.6469568411,Meath
Ballyadams,52.9428923533,-7.0437530258,Laois
Warrenstown,53.3713644686,-7.1789011207,Offaly
Salt South,53.2721771895,-6.5539348885,Kildare
Coole,54.1744498716,-7.3940704986,Fermanagh
Fews Upper,54.1462012956,-6.580844296,Armagh
Raphoe South,54.8154064723,-7.8184894839,Donegal
Dungannon Lower,54.4324558159,-6.9241718037,Tyrone
Belfast Upper,54.6153930305,-6.01057043,Antrim
Courceys,51.6629264084,-8.5761957654,Cork
Carra,53.8061246216,-9.2937668341,Mayo
Clanmorris,53.7325754464,-9.0077080993,Mayo
Imokilly,51.90472824,-8.0449232056,Cork
Kerrycurrihy,51.8177397846,-8.4016522466,Cork
Kinalea,51.7623881151,-8.4948441497,Cork
Kinalmeaky,51.766967919,-8.8008486269,Cork
Clankee,53.954425567,-6.9598949021,Cavan
Kinsale,51.7116899289,-8.5290677504,Cork
Trughanacmy,52.2338593106,-9.5410236098,Kerry
Tirhugh,54.5919603991,-8.0182971791,Donegal
Magunihy,52.065150391,-9.4395508323,Kerry
Carbury,54.3332202081,-8.4777168316,Sligo
Iffa and Offa East,52.386853278,-7.6040989031,Tipperary
Tireragh,54.2063398905,-8.9128240128,
Ards Lower,54.6058010993,-5.6035157183,Down
Clogher,54.4413921366,-7.1984407844,Tyrone
Clandonagh,52.8857244467,-7.6430951299,Laois
Tullygarvey,54.0458009791,-7.181530248,Cavan
