name,within,within1,lat,long
Beginish,DÃºn Chaoin,Toghroinn ceantair DÃºn Chaoin,52.1155532671,-10.5066558748
Dooneen,Ballynakill,Ballynakill,53.5555748749,-10.0372631174
Scartleigh,Dysert,Ennismore,52.4389016841,-9.5214845648
Cloosmore,Dingle,Glin,52.1324302176,-10.3108923317
Lacka East,Rattoo,Ballyduff,52.4560287655,-9.6585504924
Ballyameentrant,Kildrum,Glin,52.1196687071,-10.3197545718
Inishdeash Beg,Burrishoole,Newport West,53.879975898,-9.6902360914
Aghanboy,Cill Imleach,Teeranearagh,51.8920081856,-10.3012269542
Gortalavaun,Tagheen,Cloghermore,53.7193459481,-9.1077451249
Dooreel,Kilcommon,Ballycroy South,54.0267991047,-9.8797700411
Gortonora,Dingle,Dingle,52.1410996896,-10.2610763644
Inishkea South,Kilmore,An Geata MÃ³r Theas,54.1147947386,-10.2203832443
Laharan South,Caher,Caher,51.908501041,-10.2057049962
Letter,Caher,Caher,51.923334902,-10.220834457
Roeillaun,Omey,Sillerna,53.569758977,-10.1590132545
Knock,Inishbofin,Inishbofin,53.6124451845,-10.1926370006
Cloonamore,Inishbofin,Inishbofin,53.6270074461,-10.1949103882
Aughrus Beg,Omey,Sillerna,53.5566005028,-10.173538181
Doonawaul,Ballindoon,Doonloughan,53.4084370136,-10.1924354709
Killurly East,Killinane,Castlequin,51.9784905836,-10.1823380209
Illaunaleama,Ballindoon,Doonloughan,53.4077552376,-10.1863340443
Turbot Island,Omey,Clifden,53.4984931765,-10.1515904785
Ballyheer,Inishturk,Clare Island,53.6971650168,-10.1256557559
Carrickmore,Ballindoon,Bunowen,53.3933361119,-10.1363964898
Sallahig,An Dromaid,Loughcurrane,51.8637430827,-10.1300424192
Cloon Glebe,Ardfert,Tubrid,52.3216496896,-9.7799193802
Ardmore Island,Omey,Clifden,53.499668453,-10.1244373131
Clooncarrig,Killorglin,Killorglin,52.1111196559,-9.7789242896
Bawnachaulig,Dysert,Ennismore,52.4368149571,-9.5770278527
Dunbeacon,Skull,Dunbeacon,51.5923985528,-9.5607586458
Garranty,Inishturk,Clare Island,53.7089988867,-10.0941921695
Derrigimlagh,Ballindoon,Errislannan,53.4451817072,-10.0440609685
Reentrusk,Kilnamanagh,Coulagh ED,51.6644836647,-10.075270668
Clochbhuaile,An Dromaid,Loughcurrane,51.8346057957,-10.0646347519
Ellagh Beg,Kilgarvan,Sallymount,54.0792935551,-9.0176896683
Hen Island,Ballindoon,Bunowen,53.3819142293,-10.0949589607
Fox Island,Ballindoon,Bunowen,53.4021142328,-10.0951710195
Leam,Kilmore,An Geata MÃ³r Theas,54.1700195733,-10.0810423468
Coorloum West,Kilmocomoge,Ahil,51.7535084384,-9.4326123292
Glassillaun,Ballynakill,Ballynakill,53.575032499,-10.051343273
Canalough,Kilnamanagh,Kilnamanagh,51.5985777671,-10.0258785358
Caherkeen,Kilcatherine,Coulagh ED,51.6653614882,-10.033531734
Cappananee,Killiney,Deelis,52.2274071577,-9.9714173249
Dolan,Ballindoon,Bunowen,53.4006231343,-10.0003899015
Ardbear,Moyrus,Clifden,53.4817384984,-10.0211527645
Bridaun Beg Island,Kilcatherine,Kilcatherine,51.7078168117,-10.0298664949
Flat Island,Moyrus,Clifden,53.4723127833,-10.0278336679
Knockroe Middle,Kilnamanagh,Kilnamanagh,51.6232521023,-10.0148121379
Glenlara,Kilmore,Belmullet,54.2844814712,-9.990951791
Urhin,Kilcatherine,Coulagh ED,51.6629494323,-10.0015193273
Beaghcauneen,Ballindoon,Derrylea,53.4563836348,-10.0016409982
Killymongaun,Moyrus,Derrylea,53.4822478785,-9.9935056882
Tallagh,Kilmore,Belmullet,54.239183994,-9.9873186784
Loughauna,Omey,Derrylea,53.5118225247,-9.9761740571
Garranes,Kilnamanagh,Kilnamanagh,51.6179843875,-9.9893471929
Kilcatherine,Kilcatherine,Kilcatherine,51.7276203658,-9.9619216906
Knocknanarney,Ballynahaglish,Ballynahaglish,52.2871609397,-9.8317059097
Carrownaglogh,Kilcommon,Knockadaff,54.324875718,-9.8117192441
Ungwee,Ballynakill,Ballynakill,53.5305256447,-9.9732882011
Derrycunlagh,Moyrus,Derrycunlagh,53.445856128,-9.9461568741
Ballyhennessy,Dysert,Ballyhorgan,52.4001071968,-9.5928685504
Srah,Kilcommon,Glencastle,54.1751056677,-9.9373696211
Gowlan West,Moyrus,Derrylea,53.4852590592,-9.9678577627
Salia,Achill,Achill,53.9476494656,-9.9442869266
Com Beatha,An Dromaid,Derriana,51.931750769,-9.9396818853
Derrylea,Moyrus,Derrylea,53.4817509193,-9.9384377875
Illaunnacroaghmore,Moyrus,Knockboy,53.3455475621,-9.9619803897
Cloghmore,Achill,Doogea,53.8788857788,-9.953793388
Doolough,Kilcommon,Rathhill,54.1350709486,-9.9135135194
Emlaghmore,Moyrus,Derrycunlagh,53.4637515466,-9.9172658185
Rathcrony,Kilmaley,Kilcloher,52.8012787646,-9.1264398862
Lettergesh West,Ballynakill,Rinvyle,53.5862259983,-9.8990313799
Pollacappul,Ballynakill,Rinvyle,53.5686118557,-9.8950496972
Kilmackowan,Kilcatherine,Killaconenagh,51.6853752601,-9.8983031646
Gweesalia,Kilcommon,Rathhill,54.1121419139,-9.8944513318
Tallavbaun Island,Kilgeever,Owennadornaun,53.6687558376,-9.9080292639
Ardgroom Outward,Kilcatherine,Kilcatherine,51.7346388781,-9.8678858571
Ballintleave Commons,Killorglin,Caragh,52.0811679474,-9.8876975273
Drimna Beg,Kilcrohane,Sneem,51.8317080573,-9.8962504715
Illanrory,Kilcommon,Achill,53.9871899205,-9.8961126741
Drimna More,Kilcrohane,Sneem,51.8263120716,-9.8826923009
Doona,Kilcommon,Ballycroy North,54.0559586542,-9.8715619618
Cummers West,Tuosist,Ardea,51.7710775483,-9.7580356729
Tievebreen,Moyrus,Bencorr,53.5012656398,-9.8522244065
Dadreen,Kilgeever,Owennadornaun,53.6516014011,-9.8604133983
Moyrus,Moyrus,Knockboy,53.3489306039,-9.866011925
Srahmore,Achill,Corraun Achill,53.913760082,-9.8762144772
Ardrahan,Kilmoyly,Tubrid,52.3554695999,-9.7561462153
Kylemore,Ballynakill,Cushkillary,53.5486745841,-9.8285148867
Barnanang,Moyrus,Bencorr,53.5157617996,-9.8584634525
Moneen,Kilballyowen,Kilballyowen,52.5819396718,-9.8674865256
Illion West,Moyrus,Illion,53.5133001116,-9.7007396006
Drummeen East,Killone,Clareabbey,52.800909726,-9.0303969319
Mweelin,Kilgeever,Owennadornaun,53.6418266361,-9.8492834783
Tristia,Kilcommon,Goolamore,54.1360404316,-9.8520411954
Aughness,Kilcommon,Ballycroy North,54.0871085811,-9.8367259885
Ballyfinoge,Ballymacelligott,Arabela,52.2651262791,-9.5994396078
Kinnakillew,Kilgeever,Owennadornaun,53.6613270033,-9.8388071205
Lurgandarragh,Kilcommon,Ballycroy South,54.0049786873,-9.6930431247
Tallagh,Kilcommon,Ballycroy South,54.016065075,-9.8431205294
Cockow,Knockane,Curraghmore,51.9654575354,-9.7022267083
Knockmoyleen,Kilcommon,Ballycroy North,54.0472547097,-9.8420529189
Rossmackowen Commons,Killaconenagh,Curryglass,51.6807800968,-9.815044759
Tawnydoogan,Kilgeever,Owennadornaun,53.6807732336,-9.8354815076
Formoyle,Kilgeever,Emlagh,53.7339039716,-9.8264079087
Ardagh,Killaconenagh,Bear,51.6363975316,-9.8379365846
Owenduff,Achill,Corraun Achill,53.9363742479,-9.8241061611
Leagh,Rattoo,Ballyduff,52.4624505792,-9.6518244611
Claggan,Kilcommon,Ballycroy South,53.9688370197,-9.8297404815
Carrowmore,Kilcommon,Muings,54.2148841328,-9.8302956878
Illancroagh,Kilcommon,Ballycroy South,53.9619714657,-9.8497303392
